"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374.18676758","368.24661255","435.10391235","597.42956543","674.53356934","695.84570313","729.3515625","849.86663818","942.54449463","927.22888184","906.32458496","978.55969238","916.7364502","977.04272461","988.40588379","836.64074707","819.97937012","878.85375977","936.06195068","","",
"Benin","BEN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33037186","8.39722157","9.21395969","11.45601654","12.5445137","12.33948898","12.85233879","13.70084858","14.36456776","14.15381336","13.97805023","15.2496624","14.62622166","15.13387203","15.16123486","12.6782589","13.10077858","13.27745342","13.78328514","","",
"Burkina Faso","BFA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17281723","3.29357243","3.33526087","3.92243528","5.36095238","5.55467987","6.58848715","7.66106367","9.22012806","9.93239212","10.23046494","11.46714401","11.29871464","14.68833637","13.49225998","12.07530212","12.85289288","14.0660677","14.42168045","","",
"Bangladesh","BGD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22991943","5.44726753","5.8182292","6.41094398","6.92952824","7.52773857","8.02753925","9.42411804","10.61468983","12.05096149","13.98157787","15.39160156","15.82762814","18.27551842","20.80198669","23.59101105","25.28833771","27.64385033","30.95901489","","",
"Bulgaria","BGR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.15400696","52.37304688","58.95456696","74.50167847","91.38802338","104.06415558","125.4298172","153.85972595","194.19328308","203.77928162","209.12864685","247.15792847","266.73657227","229.17799377","243.56188965","221.65493774","243.23890686","270.65560913","279.53158569","","",
"Bahrain","BHR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.26925659","122.94258118","129.3924408","178.64083862","170.0652771","160.78034973","160.21525574","208.99317932","206.26095581","222.60444641","226.63589478","228.99810791","260.36398315","286.98123169","288.26495361","291.67575073","307.5539856","342.7800293","298.28927612","","",
"Bahamas, The","BHS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280.70205688","304.53366089","317.02886963","326.15258789","340.09228516","370.6907959","388.59347534","406.52404785","414.13287354","397.22930908","412.60552979","416.94433594","450.82540894","449.52297974","473.10110474","497.15142822","497.42224121","527.30133057","547.36938477","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7509613","43.4651413","45.71328354","54.82037735","104.41486359","118.82771301","136.57167053","171.81402588","212.07189941","130.14350891","125.64141083","137.62724304","132.32609558","140.8086853","145.99047852","127.32218933","132.19451904","140.40588379","158.25718689","","",
"Belarus","BLR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24326134","15.39832401","20.05255508","22.16096115","27.43760681","43.19734192","54.58813095","72.50099182","104.96034241","89.88411713","100.2342453","107.39837646","112.59429932","154.25921631","157.10214233","131.32600403","79.77565765","90.24806213","88.90013123","","",
"Belize","BLZ","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.91549683","52.43333817","54.79582977","56.00455093","56.48336411","55.44171524","54.34223557","56.13451385","57.04530334","58.64043808","59.68586731","62.13893127","62.9277916","64.52223206","65.28742218","66.70800018","70.3874588","67.55792999","66.43534851","","",
"Bermuda","BMU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.69242668","15.13340569","15.01840973","15.10643673","15.33398724","16.79439354","18.3300457","19.83232498","23.99567032","27.32147217","33.85306168","39.45467758","47.11276245","55.13633347","56.15694809","54.34597015","58.91107178","54.54298782","51.81051254","","",
"Brazil","BRA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.36506653","102.15074158","89.90401459","89.19474792","104.51618195","138.09991455","166.90664673","199.45358276","218.50222778","225.26609802","263.49627686","302.24752808","284.05914307","276.46008301","286.60638428","222.38130188","219.64215088","256.79101563","233.67855835","","",
"Barbados","BRB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.56706238","235.71194458","243.20562744","280.96847534","307.44415283","328.16583252","354.03445435","374.17199707","392.50616455","412.37857056","414.18057251","479.05471802","487.96090698","505.4057312","505.35195923","492.63217163","497.63458252","521.61737061","541.73950195","","",
"Brunei Darussalam","BRN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.5098877","78.1161499","77.65920258","91.27196503","104.71820831","105.54357147","96.16435242","89.83625793","79.71511078","70.41863251","66.38215637","74.31163788","78.22232819","79.90009308","58.58831787","36.99943161","34.46210098","35.10221481","37.08353043","","",
"Bhutan","BTN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56552649","2.85200095","3.72365117","7.17304611","7.6241107","8.01592445","8.18188381","9.47079754","9.1077261","10.13534546","12.21216106","13.00283623","17.63052177","17.92581177","18.82105064","19.5100975","19.90928268","13.95250988","13.52429962","","",
"Botswana","BWA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.54109192","19.62689972","18.44878387","24.19542313","26.11537552","24.45628738","21.84634018","21.0653801","19.21282196","18.59922028","19.90288162","20.12742615","20.51359749","17.01841164","16.18994713","13.93133163","13.32264042","14.49399376","16.01022911","","",
"Central African Republic","CAF","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90071869","5.10056496","5.28315783","6.43321609","7.46475983","7.65112734","8.29692745","9.62911415","11.10539913","10.83497047","10.77009869","11.64804268","11.23393536","8.07044792","10.44435215","9.26422215","12.08014297","16.91357994","22.3633213","","",
"Canada","CAN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333.4128418","328.70098877","343.51132202","390.88244629","447.18045044","506.61602783","591.50927734","645.16296387","679.86151123","649.67449951","768.91925049","776.90283203","779.18334961","758.29083252","757.13964844","657.27166748","699.27520752","725.76226807","735.6852417","","",
"Central Europe and the Baltics","CEB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.8574985121472","60.0599595810939","66.7647823838888","82.2460852340764","107.048791854677","119.691197056021","133.255017196398","168.73815855483","207.619036809979","188.366104104058","191.058521619003","207.858412160761","199.185807924677","203.477075475314","203.373955839196","180.894874283248","188.267471147103","207.592329553663","220.089750550637","","",
"Switzerland","CHE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1104.98999023","1133.52453613","1223.49365234","1436.42932129","1612.91357422","1540.13720703","1551.25622559","1682.28540039","1886.82055664","1912.00793457","2017.8371582","2357.3112793","2306.4465332","2334.05834961","2493.9543457","2426.21606445","2508.25488281","2536.64233398","2762.00463867","","",
"Channel Islands","CHI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
